dataset,classifier,imbalance_ratio,imbalance_category,n_instances,n_fp,n_fn,n_errors,accuracy,precision,recall,f1
congressional-voting,svm,1.59,slight,435,6,1,7,0.9465648854961832,0.8928571428571429,0.9803921568627452,0.9345794392523364
congressional-voting,rf,1.59,slight,435,6,1,7,0.9465648854961832,0.8928571428571429,0.9803921568627452,0.9345794392523364
spambase,rf,1.54,slight,4601,31,47,78,0.943519188993483,0.9441441441441442,0.9176882661996496,0.9307282415630552
spambase,svm,1.54,slight,4601,28,121,149,0.8921071687183201,0.9414225941422594,0.7880910683012259,0.8579599618684461
spambase,xgb,1.54,slight,4601,33,43,76,0.944967414916727,0.9411764705882352,0.9246935201401052,0.9328621908127208
cylinder-bands,rf,1.37,balanced,539,19,9,28,0.8271604938271605,0.8155339805825242,0.9032258064516128,0.8571428571428571
cylinder-bands,xgb,1.37,balanced,539,12,16,28,0.8271604938271605,0.8651685393258427,0.8279569892473119,0.8461538461538461
cylinder-bands,svm,1.37,balanced,539,20,17,37,0.7716049382716049,0.7916666666666666,0.8172043010752689,0.8042328042328042
credit-approval,xgb,1.25,balanced,690,15,17,32,0.8454106280193237,0.8571428571428571,0.8411214953271028,0.8490566037735849
credit-approval,svm,1.25,balanced,690,8,24,32,0.8454106280193237,0.912087912087912,0.7757009345794392,0.8383838383838383
credit-approval,rf,1.25,balanced,690,13,12,25,0.8792270531400966,0.8796296296296297,0.8878504672897196,0.8837209302325582
mammographic-mass,xgb,1.16,balanced,961,36,29,65,0.7750865051903114,0.7352941176470589,0.7751937984496124,0.7547169811320755
mammographic-mass,svm,1.16,balanced,961,41,20,61,0.7889273356401384,0.7266666666666667,0.8449612403100775,0.7813620071684588
mammographic-mass,rf,1.16,balanced,961,36,31,67,0.7681660899653979,0.7313432835820896,0.7596899224806202,0.7452471482889734
usps_bin,svm,1.01,balanced,1424,4,7,11,0.9742990654205608,0.9808612440191388,0.9669811320754716,0.973871733966746
usps_bin,xgb,1.01,balanced,1424,3,5,8,0.9813084112149532,0.9857142857142858,0.9764150943396226,0.981042654028436
usps_bin,rf,1.01,balanced,1424,2,4,6,0.985981308411215,0.9904761904761904,0.981132075471698,0.985781990521327
cnae-9_bin,rf,1.0,balanced,240,0,0,0,1.0,1.0,1.0,1.0
cnae-9_bin,svm,1.0,balanced,240,0,1,1,0.9861111111111112,1.0,0.9777777777777776,0.9887640449438202
cnae-9_bin,xgb,1.0,balanced,240,1,1,2,0.9722222222222222,0.9777777777777776,0.9777777777777776,0.9777777777777776
hill_valley,svm,1.0,balanced,1212,4,168,172,0.5274725274725275,0.8,0.0869565217391304,0.1568627450980392
hill_valley,xgb,1.0,balanced,1212,82,66,148,0.5934065934065934,0.59,0.6413043478260869,0.6145833333333334
isolet_bin,rf,1.0,balanced,600,2,0,2,0.9888888888888888,0.9767441860465116,1.0,0.9882352941176472
hill_valley,rf,1.0,balanced,1212,74,57,131,0.6401098901098901,0.6318407960199005,0.6902173913043478,0.6597402597402597
isolet_bin,svm,1.0,balanced,600,0,0,0,1.0,1.0,1.0,1.0
isolet_bin,xgb,1.0,balanced,600,2,0,2,0.9888888888888888,0.9767441860465116,1.0,0.9882352941176472
