dataset,classifier,fp-fn,silhouette,calinski,davies,num_clusters
kc1,xgb,fn,0.30894225499408184,53.16940029476437,0.7249314451619009,9
kc2,rf,fp,0.2276444715179097,8.988550494423379,0.6556509393872382,4
kc2,rf,fn,0.25653741737694447,15.20045800211309,0.7896898704922302,4
kc2,svm,fp,,,,2
kc2,svm,fn,0.18008956894977346,14.48677991073397,0.9225025542161872,6
kc2,xgb,fp,0.11139320777654578,7.204331409948917,0.769561222550083,5
kc2,xgb,fn,0.2911998387439275,16.250282190517567,0.7423969470512873,4
ozone-level-8hr,rf,fp,,,,2
ozone-level-8hr,rf,fn,0.13675147229612167,6.345750438111759,1.2966328848290984,7
ozone-level-8hr,svm,fn,0.11381440615001565,6.698227901655192,1.28599112854462,9
ozone-level-8hr,xgb,fp,0.23426251006714016,2.758046378966982,0.4245597976081262,2
ozone-level-8hr,xgb,fn,0.1202944623796711,6.849166231983354,1.3387419256608286,7
pc1,rf,fp,0.7042683524504283,282.714402838925,0.039655792252375185,2
pc1,rf,fn,0.4349071826301385,12.228292210028743,0.6091987453105787,4
pc1,svm,fn,0.3725310710988034,20.45397143533713,0.8800770205425286,4
pc1,xgb,fp,0.5029469090064149,172.26648049300965,0.1705381723719814,3
pc1,xgb,fn,0.3768392845948421,12.140580133099874,0.5594428111506209,4
phoneme,rf,fp,0.4055655772976613,42.90409887659376,0.7394947857281678,12
phoneme,rf,fn,0.3599301564508969,32.30630152544605,0.78962343612085,11
phoneme,svm,fp,0.31339037621829746,91.97666121019849,0.965968877058901,15
phoneme,svm,fn,0.3577937375359055,85.13779308083444,0.9449577975323703,15
phoneme,xgb,fp,0.41434557229240454,50.97450205333699,0.7737211688569388,12
phoneme,xgb,fn,0.370406396249517,35.750060388638786,0.799416047230197,11
qsar-biodeg,rf,fp,0.202107537412885,4.379070102141188,1.1427358738875215,5
qsar-biodeg,rf,fn,0.33328347907591127,16.806689064656794,0.48799560289749944,8
qsar-biodeg,svm,fp,0.32255295605262013,6.605459961578567,0.9649236644754245,3
qsar-biodeg,svm,fn,0.17187694738774334,15.35867780500004,0.6793026131518252,7
qsar-biodeg,xgb,fp,0.21193576286583354,4.830239101225746,1.4925041762741085,3
qsar-biodeg,xgb,fn,0.2741185280587212,13.989052705373972,0.6001694233205255,8
spambase,rf,fp,0.0886726035572605,6.508364039607614,1.0681051837667754,7
spambase,rf,fn,0.28199039526312575,13.044173344401141,0.8486459087586669,10
spambase,svm,fp,0.34131485729429667,17.97542656484401,0.6576344795858488,7
spambase,svm,fn,0.26341799596965615,17.837187500142758,0.9281871426689482,21
spambase,xgb,fp,0.16375437220565026,11.13668925743355,0.8507547362096834,7
spambase,xgb,fn,0.19716875149571178,9.038049709906813,0.9906842258749082,10
wdbc,rf,fp,0.259266689305525,3.085914336088148,0.4243729963310651,2
wdbc,rf,fn,0.32963921934362767,6.184245996101692,0.30428976076669373,3
wdbc,svm,fp,,,,1
wdbc,svm,fn,,,,1
wdbc,xgb,fp,0.4357148534385643,7.689168834291945,0.24344632089287288,2
wdbc,xgb,fn,0.2972557226632824,5.751171915201955,0.2813972318539915,3
