dataset,classifier,method,seed,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
diabetes,svm,Meta_GWO,7,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,7,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,7,20.0,50.0,9,0.11463557230236919,2.9271704208589795,0.5981164571726304
diabetes,svm,Meta_GWO,42,20.0,50.0,9,0.21988174249053719,3.445722548588064,0.5489222104366119
diabetes,svm,Meta_PSO,42,20.0,50.0,9,0.21833184683371665,2.2606403916813855,0.6267629470267164
diabetes,svm,Meta_WOA,42,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,99,20.0,50.0,9,0.19851605217976773,2.420332516671966,0.6050102324859091
diabetes,svm,Meta_PSO,99,20.0,50.0,9,0.18126783264741003,2.442336393473885,0.6018253289848601
diabetes,svm,Meta_WOA,99,20.0,50.0,9,0.17480652503244157,3.1039434000264188,0.5612505785388457
diabetes,svm,Meta_GWO,123,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,123,20.0,50.0,9,0.19698390534643503,3.350066516714465,0.5643787714082132
diabetes,svm,Meta_WOA,123,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,256,20.0,50.0,9,0.12056981980150458,2.4599363758666213,0.6012652846377516
diabetes,svm,Meta_PSO,256,20.0,50.0,9,-0.06366295616739635,2.8787024108023718,0.7342267952692396
diabetes,svm,Meta_WOA,256,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,512,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,512,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,512,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,777,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,777,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,777,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,1000,20.0,50.0,9,0.1619618422331391,3.1404808557120445,0.6009966969015365
diabetes,svm,Meta_PSO,1000,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,1000,20.0,50.0,9,0.17480652503244157,3.1039434000264188,0.5612505785388457
diabetes,svm,Meta_GWO,2024,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,2024,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,2024,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,0,50.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,0,50.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,0,50.0,30.0,9,0.21833184683371665,2.2606403916813855,0.6267629470267164
diabetes,svm,Meta_GWO,7,50.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,7,50.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
