dataset,classifier,algo,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_trials
blood-transfusion,rf,GA,5.25,0.3539746934510183,0.07017068225768011,6.621491533827573,1.1156600579341385,0.3786282793997141,0.02317801445838911,4
blood-transfusion,rf,GWO,5.375,0.27505791982269207,0.11709600690370922,8.081199366131514,0.9585881418742093,0.43053640656967157,0.03529358923390746,8
blood-transfusion,rf,PSO,6.0,0.2432900140272951,0.03312104511243456,9.583666871793826,3.363660276053863,0.4525552403686061,0.04517784279353241,3
blood-transfusion,rf,WOA,3.727272727272727,0.390863420828166,0.044433642967289536,6.635396676969273,2.464892440667196,0.39014918756198785,0.04629632269912961,11
blood-transfusion,svm,GA,8.0,0.35494206162627734,,8.812876898124667,,0.3330035368598775,,1
blood-transfusion,svm,GWO,6.8,0.36938053661906334,0.004415343898514073,11.62468254291091,1.761276986597325,0.37952677441557536,0.03353234544675228,5
blood-transfusion,svm,PSO,7.25,0.3095429111294309,0.10665591294162068,10.904772142230916,1.0718815619320474,0.3867530697581552,0.028498139100398456,4
blood-transfusion,svm,WOA,5.722222222222222,0.38593185482934567,0.04623689864144213,8.741560365274857,2.318375507049282,0.36619668706842196,0.02738014831314592,18
blood-transfusion,xgb,GA,6.0,0.27688951957177677,0.05775901729257418,12.540636673380973,4.2730317968152285,0.45347368650545017,0.02818948484642552,2
blood-transfusion,xgb,GWO,5.75,0.32112870626920215,0.05072251600107086,7.502699743806567,1.466355855366767,0.38859058968524934,0.03593700024901872,4
blood-transfusion,xgb,PSO,6.25,0.3011481393135477,0.10937087169095187,8.9058005742674,5.084807764311625,0.3925821505833937,0.058497060720085155,4
blood-transfusion,xgb,WOA,3.6666666666666665,0.4198482161105854,0.025419924317458167,6.232969790915572,0.34216456736950385,0.3573133421082792,0.007674884715161592,18
column,rf,GA,4.0,0.19759604416375715,0.020982626516520587,2.6743868107375777,0.2786658785330571,0.49294763989030016,0.0101643489059439,2
column,rf,GWO,3.75,0.2094373345907579,0.036424540096910964,3.0698874517866845,0.7829642711436096,0.4938670432758457,0.029070447191080057,12
column,rf,PSO,4.0,0.19661077857933712,0.010548148720904276,2.9540882406004694,0.055103264977907115,0.4794267998344357,0.00422237334541697,4
