,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
37,blood-transfusion,svm,Meta_PSO,50.0,50.0,9.0,0.3037773597494755,0.09090407860811596,11.230288252702934,1.9476614466231685,0.38580674173269436,0.038189145855652876,10
38,blood-transfusion,svm,Meta_WOA,20.0,30.0,9.0,0.3653032654739161,0.08127841460256935,9.599319570364035,3.909513897309694,0.40380751718299557,0.06304781202354294,10
39,blood-transfusion,svm,Meta_WOA,20.0,50.0,9.0,0.3804659372942038,0.03270208658601729,8.707935545243746,3.3735227935144105,0.3840737797373266,0.037577647167328844,10
40,blood-transfusion,svm,Meta_WOA,50.0,30.0,9.0,0.39861410326561647,0.044187040161079064,8.262536747015764,2.8579171401689814,0.37780904520851727,0.029418558050166785,10
41,blood-transfusion,svm,Meta_WOA,50.0,50.0,9.0,0.41306263999717363,0.024879483793935692,7.626016345818425,2.425566223256273,0.3680150256840158,0.020634645511023297,10
42,blood-transfusion,xgb,AffinityPropagation,,,8.0,0.4023082882225947,0.0,59.567785226692784,0.0,0.7578786830348536,0.0,10
43,blood-transfusion,xgb,EvoCluster_PSO,20.0,30.0,4.8,0.36025506589318046,0.06138026295234995,9.536331316447876,3.5462856881603737,0.4060099567230848,0.036867700524259445,10
44,blood-transfusion,xgb,EvoCluster_PSO,20.0,50.0,5.9,0.3201059053026918,0.04225130720580678,10.743162674948488,5.1480181647407175,0.4135216860935097,0.048485777663863944,10
45,blood-transfusion,xgb,EvoCluster_PSO,50.0,30.0,5.4,0.3434462190861,0.04445434747865178,10.329288615008178,4.434833925602255,0.41036287703880936,0.046429283429143764,10
46,blood-transfusion,xgb,EvoCluster_PSO,50.0,50.0,5.0,0.3641574299670202,0.06021757754451793,8.715365255386471,4.486587028930114,0.38703984292378724,0.04831020892664123,10
47,blood-transfusion,xgb,Meta_GA,20.0,30.0,8.0,0.30122269251385386,0.02147613134040198,11.419735429374215,5.857573443433363,0.4368758055710093,0.054130400696844584,10
48,blood-transfusion,xgb,Meta_GA,20.0,50.0,8.0,0.29395200239386554,0.036854854415095534,14.000869360812507,3.521178328560742,0.4327824358640071,0.029845938379335957,10
49,blood-transfusion,xgb,Meta_GA,50.0,30.0,8.0,0.3079959489710156,0.03771418954696019,8.784693079768655,3.006414440816612,0.395470961278479,0.026235904434794968,10
50,blood-transfusion,xgb,Meta_GA,50.0,50.0,8.0,0.27078928900220833,0.03770382597532778,8.313381812392503,3.2224997962875315,0.39102564729538125,0.03373092851969602,10
51,blood-transfusion,xgb,Meta_GWO,20.0,30.0,8.0,0.28749346088636474,0.034334375012235754,12.206060439844427,3.927433232258548,0.4434446497240473,0.03524338331346737,10
52,blood-transfusion,xgb,Meta_GWO,20.0,50.0,8.0,0.2937256031094093,0.033865920648952046,13.49427660202602,3.9254483195442433,0.4498958560361027,0.02899410271554925,10
53,blood-transfusion,xgb,Meta_GWO,50.0,30.0,8.0,0.276152968364529,0.061314472201554664,9.576423771260966,3.677130967320669,0.41439170791446356,0.03216668853820854,10
54,blood-transfusion,xgb,Meta_GWO,50.0,50.0,8.0,0.30493653701742335,0.07572734830987954,8.194048071464136,1.401175815291247,0.405571676755176,0.036881807574870716,10
55,blood-transfusion,xgb,Meta_PSO,20.0,30.0,8.0,0.3029243997744989,0.0390852442991896,16.049147646803238,7.512895116692347,0.4771947650606447,0.03140779688058324,10
56,blood-transfusion,xgb,Meta_PSO,20.0,50.0,8.0,0.3037918067651528,0.04516727386940874,9.405477023697602,4.527288219827798,0.41226681201568366,0.04223034666905278,10
57,blood-transfusion,xgb,Meta_PSO,50.0,30.0,8.0,0.29480007861575797,0.06725853296910708,10.056332997789964,3.805300992877373,0.4247691072194801,0.03426951349466769,10
58,blood-transfusion,xgb,Meta_PSO,50.0,50.0,8.0,0.27073346739445486,0.04854312469773468,10.970934118338615,3.7439880825295515,0.42758333135736865,0.03641380030180536,10
59,blood-transfusion,xgb,Meta_WOA,20.0,30.0,8.0,0.37318621143655173,0.05461726736814957,9.198638970686254,3.7013563338255806,0.40102396368900833,0.04968929313971817,10
60,blood-transfusion,xgb,Meta_WOA,20.0,50.0,8.0,0.3948228195373001,0.052335798366975245,6.8336168217890165,1.8106592710548424,0.3920529986109219,0.030447798840164252,10
61,blood-transfusion,xgb,Meta_WOA,50.0,30.0,8.0,0.40808772121376685,0.061781050707483076,6.186294886895055,0.31819423319492907,0.35970812169585564,0.01197883844836891,10
62,blood-transfusion,xgb,Meta_WOA,50.0,50.0,8.0,0.4150338982799043,0.02045977017306801,6.218908178857253,0.4037520904258173,0.35825745058950764,0.009680831799533775,10
63,column,rf,AffinityPropagation,,,4.0,0.21921032747476094,0.0,6.884052932647867,0.0,0.9523197212125976,0.0,10
64,column,rf,EvoCluster_PSO,20.0,30.0,4.0,0.23687139015788494,0.059003540295672535,4.040273566686896,1.5513524553071762,0.5003159103456477,0.03183529554642729,10
65,column,rf,EvoCluster_PSO,20.0,50.0,4.0,0.19680783169622112,0.011102574583284862,2.8981479546278908,0.1567182590630244,0.4821309678456086,0.0074742936789767,10
66,column,rf,EvoCluster_PSO,50.0,30.0,4.0,0.21974019001517825,0.05190928123851251,3.405020469088965,1.0944075604333507,0.4875970602036953,0.013322618745294036,10
67,column,rf,EvoCluster_PSO,50.0,50.0,4.0,0.19766559345142756,0.010190479805964004,2.9485779141026787,0.053234811515997016,0.4798490371689774,0.004079200194100371,10
68,column,rf,Meta_GA,20.0,30.0,4.0,0.2547648145686879,0.06563108447677356,4.1278698057289684,1.4254036287713863,0.5031834345082493,0.027705492346993727,10
69,column,rf,Meta_GA,20.0,50.0,4.0,0.2561415137095879,0.055326670737113344,4.255810198152662,1.6004256674894217,0.511699163114241,0.03723416136943309,10
70,column,rf,Meta_GA,50.0,30.0,4.0,0.1955559637072467,0.008894980014999795,2.9595985670982596,0.04646715302452628,0.479004562499894,0.003560617840827338,10
71,column,rf,Meta_GA,50.0,50.0,4.0,0.20807695773881568,0.03910850405708827,3.207524497831006,0.793079723785222,0.48215984601347905,0.010019663884554173,10
72,column,rf,Meta_GWO,20.0,30.0,4.0,0.22688026615808826,0.052352845611353636,3.7819996426783318,1.5115797121243955,0.5036996467489041,0.041102537691968394,10
73,column,rf,Meta_GWO,20.0,50.0,4.0,0.22903647074710806,0.04691914669515287,3.411367816581427,1.0811344477615705,0.4886930282033977,0.011178300208440269,10
74,column,rf,Meta_GWO,50.0,30.0,4.0,0.2184883220262038,0.05209820702600825,3.466471081559334,1.0517174260397273,0.4844706548579808,0.013125591373519239,10
75,column,rf,Meta_GWO,50.0,50.0,4.0,0.19258857220785944,0.0074755717284480695,2.9201892606190536,0.1594092506649122,0.48044201850744184,0.007410880920123636,10
76,column,rf,Meta_PSO,20.0,30.0,4.0,0.2560166825576623,0.06470603473609612,4.066419193258599,1.4878549793004046,0.5063098398539638,0.025353442152933076,10
77,column,rf,Meta_PSO,20.0,50.0,4.0,0.23648044353510894,0.056279862249048136,3.630905093830548,1.270504137406872,0.4924412930554472,0.012930833267135483,10
78,column,rf,Meta_PSO,50.0,30.0,4.0,0.2184883220262038,0.052098207026008266,3.466471081559334,1.0517174260397273,0.4844706548579808,0.013125591373519247,10
79,column,rf,Meta_PSO,50.0,50.0,4.0,0.21018658748299654,0.03867170866611527,3.196503844835425,0.7973217590547806,0.4830043206825625,0.009921406220620729,10
80,column,rf,Meta_WOA,20.0,30.0,4.0,0.21135193116545045,0.042031752810605866,2.7983092313318494,0.984988590976482,0.5245484161108801,0.04170731666319214,10
81,column,rf,Meta_WOA,20.0,50.0,4.0,0.21671049873014908,0.058703887134167076,3.6936284618227857,1.5733704739730856,0.5085002715641331,0.033482084300947484,10
