,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
22,blood-transfusion,svm,Meta_GWO,20.0,30.0,9.0,0.291381135894201,0.09854515475872903,13.155891018142734,3.8253039605362593,0.4226240245485604,0.06961483138305359,10
23,blood-transfusion,svm,Meta_GWO,20.0,50.0,9.0,0.3137120077988174,0.06186120131457344,14.734841310603226,6.872258541435524,0.42640664829805724,0.059474205214052826,10
24,blood-transfusion,svm,Meta_GWO,50.0,30.0,9.0,0.3317895389940902,0.10635062975381838,10.717108885844855,1.91870199513696,0.38410511636446043,0.03530496436975941,10
25,blood-transfusion,svm,Meta_GWO,50.0,50.0,9.0,0.3479975572722071,0.05041942529000928,10.792843626089581,2.055393095373427,0.3668729417161793,0.04486751299686252,10
26,blood-transfusion,svm,Meta_PSO,20.0,30.0,9.0,0.3250135831613022,0.07843649915748939,14.998841281032497,7.808573502090681,0.43770874476836436,0.03262051902708595,10
27,blood-transfusion,svm,Meta_PSO,20.0,50.0,9.0,0.3309405037527361,0.08570166681106962,13.503647636373552,5.6015568236761535,0.3986344811952256,0.050097659853286916,10
28,blood-transfusion,svm,Meta_PSO,50.0,30.0,9.0,0.3114265768142468,0.08206714935545245,10.809213915088911,2.857949173340305,0.38905162823641193,0.03969183865882929,10
29,blood-transfusion,svm,Meta_PSO,50.0,50.0,9.0,0.32984875912176276,0.07710585589509338,12.539028282713359,2.695977481853931,0.40053633396788413,0.0426877464273289,10
30,blood-transfusion,svm,Meta_WOA,20.0,30.0,9.0,0.34498193962978274,0.08068890152424857,9.531559142445207,2.6781712294790982,0.40734665413927207,0.05351454212442291,10
31,blood-transfusion,svm,Meta_WOA,20.0,50.0,9.0,0.3748967624401321,0.040729182304784894,9.965306237222213,2.8993775084110833,0.39148943996749724,0.03340988754360068,10
32,blood-transfusion,svm,Meta_WOA,50.0,30.0,9.0,0.3794452806561186,0.05893823673716317,9.128816938334907,3.4216622460529047,0.38451690316781084,0.03553754812283794,10
33,blood-transfusion,svm,Meta_WOA,50.0,50.0,9.0,0.3865452783643049,0.044218653918763805,8.693033193222096,2.4530954863297696,0.3595695719598717,0.016037824750501,10
34,blood-transfusion,xgb,AffinityPropagation,,,8.0,0.4023082882225947,0.0,59.567785226692784,0.0,0.7578786830348536,0.0,10
35,blood-transfusion,xgb,EvoCluster_PSO,20.0,30.0,4.6,0.35965715600060266,0.058631539526212854,9.110675230775534,3.352447997600808,0.4078192611451292,0.03819442228237612,10
36,blood-transfusion,xgb,EvoCluster_PSO,20.0,50.0,4.5,0.3603577209233025,0.06724799432780164,8.592162918925416,2.9276288333068514,0.40129610181803066,0.039582023464936125,10
37,blood-transfusion,xgb,EvoCluster_PSO,50.0,30.0,5.8,0.3132086579305273,0.05264237281418588,7.967786300337217,2.4929146445938097,0.3976112816386638,0.03646483618266004,10
38,blood-transfusion,xgb,EvoCluster_PSO,50.0,50.0,5.0,0.3581789204035401,0.05828190029945085,8.127262690559657,2.2964583775094582,0.3868796016577817,0.03640029614971201,10
39,blood-transfusion,xgb,Meta_GWO,20.0,30.0,8.0,0.2817386424129514,0.032561326285936006,9.918652466842818,3.637639211048422,0.42426671940603083,0.05741002342528954,10
40,blood-transfusion,xgb,Meta_GWO,20.0,50.0,8.0,0.2749168270568024,0.05544684129969717,11.201848813100241,4.097553706548313,0.4269490493889032,0.04421534535269586,10
41,blood-transfusion,xgb,Meta_GWO,50.0,30.0,8.0,0.29693136156946076,0.048102912315871015,13.076778988590013,4.259860968889257,0.43545711042257695,0.049263546973651914,10
42,blood-transfusion,xgb,Meta_GWO,50.0,50.0,8.0,0.3336203520569865,0.050267041550619056,10.147862719908073,3.9215243424362796,0.40799418142040567,0.04065865400733377,10
43,blood-transfusion,xgb,Meta_PSO,20.0,30.0,8.0,0.2893020113929247,0.04321438081109265,14.14984545881193,4.216131568147806,0.4507456560629593,0.03237907746291486,10
44,blood-transfusion,xgb,Meta_PSO,20.0,50.0,8.0,0.28401464008052185,0.06551598441061954,11.58330010696843,4.3331904634238,0.4389059984423162,0.03988966616564986,10
45,blood-transfusion,xgb,Meta_PSO,50.0,30.0,8.0,0.29494436602946206,0.07216448477635967,11.014371722441844,3.277811141279531,0.42508813055943806,0.021442539461587203,10
46,blood-transfusion,xgb,Meta_PSO,50.0,50.0,8.0,0.2846795513144139,0.05091082005014463,9.897492977192119,3.078347192599668,0.42084425140379517,0.021799099071522925,10
47,blood-transfusion,xgb,Meta_WOA,20.0,30.0,8.0,0.33829533349561247,0.07634908029056107,9.110726443408604,3.597000505197671,0.4272794341419893,0.05601490493177392,10
48,blood-transfusion,xgb,Meta_WOA,20.0,50.0,8.0,0.386655320355677,0.06436335973416454,6.347396858191473,1.3836776128292338,0.381080895165609,0.027959324678486146,10
49,blood-transfusion,xgb,Meta_WOA,50.0,30.0,8.0,0.3897952186152093,0.042901314850277726,6.390258162304031,0.8390236015246196,0.37145307512899445,0.019200078090714334,10
50,blood-transfusion,xgb,Meta_WOA,50.0,50.0,8.0,0.421671581997139,0.02103292360639567,6.274620655925462,0.1795174956876601,0.356380400684542,0.002883498094153988,10
51,column,rf,AffinityPropagation,,,4.0,0.21921032747476094,0.0,6.884052932647867,0.0,0.9523197212125976,0.0,10
52,column,rf,EvoCluster_PSO,20.0,30.0,3.8,0.21791846033795675,0.053144225911087785,3.330683925962763,1.1367615326701643,0.49661222691079737,0.01824091731640136,10
53,column,rf,EvoCluster_PSO,20.0,50.0,3.8,0.21369920084959504,0.05435864055393279,3.352725231953926,1.1277817043384222,0.49492327757263055,0.0196504075425295,10
54,column,rf,EvoCluster_PSO,50.0,30.0,4.0,0.20596732799463485,0.0394152133614202,3.218545150826588,0.7886437786209326,0.4813153713443957,0.01003834037071139,10
55,column,rf,EvoCluster_PSO,50.0,50.0,3.9,0.19464509886863596,0.009795805538558307,2.922430295535159,0.11896837060846642,0.48351214585344504,0.01410471981001176,10
56,column,rf,Meta_GWO,20.0,30.0,4.0,0.23109952564644995,0.04986662187878802,3.759958336687169,1.525199851875047,0.5053885960870709,0.04003837536365476,10
57,column,rf,Meta_GWO,20.0,50.0,4.0,0.23522857554613452,0.05686512802994401,3.692355706300918,1.221358379513436,0.4893148877097325,0.01398753237932293,10
58,column,rf,Meta_GWO,50.0,30.0,4.0,0.2169064233383151,0.04081149686178501,3.572810358705028,1.3682509905449063,0.49341236198001326,0.03240576386468134,10
59,column,rf,Meta_GWO,50.0,50.0,4.0,0.22731778762570323,0.05143971833362288,3.8317569424333557,1.4625477506582567,0.4957231708245149,0.03262265892395887,10
60,column,rf,Meta_PSO,20.0,30.0,4.0,0.2610849101306319,0.05975260179398114,4.076999655541018,1.473077506190037,0.5067283360070064,0.026525076560919892,10
61,column,rf,Meta_PSO,20.0,50.0,4.0,0.2310171288982302,0.05288242441286912,4.18191583773544,1.7113490945045204,0.5097943208064333,0.041111106302851204,10
62,column,rf,Meta_PSO,50.0,30.0,4.0,0.21057753410577257,0.042805831895950885,3.605872317691772,1.350338414459995,0.49087893797276305,0.03331445460516709,10
63,column,rf,Meta_PSO,50.0,50.0,4.0,0.19766559345142756,0.010190479805964004,2.9485779141026787,0.053234811515997134,0.4798490371689774,0.004079200194100378,10
64,column,rf,Meta_WOA,20.0,30.0,4.0,0.2103879632434354,0.042647081468438854,2.774402647680435,0.9809535772366037,0.5312816521413509,0.037095202233312904,10
65,column,rf,Meta_WOA,20.0,50.0,4.0,0.21799802348840086,0.056528679272732085,3.1356868193436243,1.2702878580745245,0.5269380641247038,0.04357872716193649,10
66,column,rf,Meta_WOA,50.0,30.0,4.0,0.2209835704947276,0.0522880962194047,3.312293407784543,1.174091439215713,0.5033830092300501,0.03823901370954167,10
67,column,rf,Meta_WOA,50.0,50.0,4.0,0.1999448203492075,0.04127436193555671,3.0091585452808887,0.9107121284607,0.49878927049163907,0.02982959734714116,10
68,column,svm,AffinityPropagation,,,5.9,0.2146670651478814,0.01483826741175144,15.014046040456318,1.7773806022191319,1.151260122859436,0.06929936960431837,10
69,column,svm,EvoCluster_PSO,20.0,30.0,2.5,0.4053767596023385,0.07767499563191237,5.467286512832681,1.5473986289870805,0.42559860859535376,0.05542829074549444,10
70,column,svm,EvoCluster_PSO,20.0,50.0,2.1,0.42935093986827433,0.027311493470289147,4.9875285918331915,0.1795417978616227,0.40818472375457027,0.014910601424436863,10
71,column,svm,EvoCluster_PSO,50.0,30.0,2.4,0.41792682540983694,0.0634377154094122,5.40647145576592,1.145271861639804,0.42161383665935703,0.05737718515912279,10
72,column,svm,EvoCluster_PSO,50.0,50.0,2.0,0.43798759243496727,0.0,5.04430469347762,0.0,0.40346957757615315,0.0,10
73,column,svm,Meta_GWO,20.0,30.0,6.0,0.35511954169713744,0.13619122049660093,4.804115530750313,0.37216022353615485,0.4385777910014199,0.054482072795989184,10
74,column,svm,Meta_GWO,20.0,50.0,6.0,0.3561648443613927,0.1322958340197567,4.765423160604966,0.4616796009529,0.4374204054769944,0.06004795890737865,10
75,column,svm,Meta_GWO,50.0,30.0,6.0,0.40908744567159505,0.047239946974034684,4.715734031001436,0.6821870157659262,0.42510441502235474,0.04036080451154536,10
76,column,svm,Meta_GWO,50.0,50.0,6.0,0.42935093986827433,0.027311493470289147,4.9875285918331915,0.17954179786162278,0.40818472375457027,0.01491060142443686,10
77,column,svm,Meta_PSO,20.0,30.0,6.0,0.2880072952135162,0.1118141783340894,5.625635911957998,3.4039820769721243,0.49925546368844564,0.08803953571259175,10
78,column,svm,Meta_PSO,20.0,50.0,6.0,0.313749058785895,0.1301122030864157,4.512445998275574,0.6461976376922773,0.45739598189193886,0.062480773845892436,10
79,column,svm,Meta_PSO,50.0,30.0,6.0,0.38563712191839794,0.08490640888921719,4.762521242849393,0.39654949741350654,0.425668703628501,0.03023602952434884,10
80,column,svm,Meta_PSO,50.0,50.0,6.0,0.42935093986827433,0.027311493470289147,4.9875285918331915,0.1795417978616227,0.40818472375457027,0.014910601424436863,10
81,column,svm,Meta_WOA,20.0,30.0,6.0,0.359996849058876,0.10662063662043493,4.5551698217279775,0.7307248026211587,0.4367792384655858,0.04597345085435539,10
82,column,svm,Meta_WOA,20.0,50.0,6.0,0.409662524506525,0.06514893362301498,4.899232060810297,0.31473438949396865,0.41575707388672456,0.02676540749415753,10
83,column,svm,Meta_WOA,50.0,30.0,6.0,0.41446834920980746,0.07437437743498936,4.832060239681931,0.671175894732745,0.4155006283268924,0.03804552301741485,10
84,column,svm,Meta_WOA,50.0,50.0,6.0,0.42935093986827433,0.027311493470289144,4.9875285918331915,0.1795417978616227,0.40818472375457027,0.01491060142443686,10
85,column,xgb,AffinityPropagation,,,4.0,0.22381222882922067,0.0,8.215383663249959,0.0,0.8626328524250712,0.0,10
86,column,xgb,EvoCluster_PSO,20.0,30.0,4.0,0.2608905357600705,0.031869649740259375,3.916555192751926,0.19518047740679,0.4154176556485332,0.008666641213156077,10
87,column,xgb,EvoCluster_PSO,20.0,50.0,4.0,0.2671447202197671,0.029679095629714772,3.9719978772611397,0.16146941654913682,0.4139204852889078,0.008412981144460001,10
88,column,xgb,EvoCluster_PSO,50.0,30.0,4.0,0.27940512916409366,0.019516095036214487,4.029944803527123,0.11952314434986398,0.4103827920856169,0.005307212189001955,10
89,column,xgb,EvoCluster_PSO,50.0,50.0,4.0,0.27323359802941927,0.026021460048285986,3.9921482666020567,0.15936419246648556,0.41206107993992236,0.007076282918669271,10
90,column,xgb,Meta_GWO,20.0,30.0,4.0,0.2686599221526745,0.025251034609033562,3.8769147305724294,0.2793174627342475,0.4223632592681629,0.020772798928045746,10
91,column,xgb,Meta_GWO,20.0,50.0,4.0,0.26113849573513703,0.03155043700436385,3.969493635504371,0.13668421117257287,0.41596100813257325,0.00938268499270712,10
92,column,xgb,Meta_GWO,50.0,30.0,4.0,0.2609731890850927,0.03176384091024577,3.934201340336074,0.1797677402178499,0.41559877314321325,0.008915806335193894,10
93,column,xgb,Meta_GWO,50.0,50.0,4.0,0.27323359802941927,0.02602146004828598,3.9921482666020567,0.15936419246648548,0.41206107993992236,0.007076282918669262,10
94,column,xgb,Meta_PSO,20.0,30.0,4.0,0.2670620668947449,0.029811327591134945,3.9543517296769912,0.18257461876079517,0.41373936779422776,0.00810690052843122,10
95,column,xgb,Meta_PSO,20.0,50.0,4.0,0.2855766602987681,0.0,4.067741340452188,0.0,0.40870450423131144,4.8956233716268386e-17,10
96,column,xgb,Meta_PSO,50.0,30.0,4.0,0.27323359802941927,0.026021460048285983,3.9921482666020567,0.15936419246648534,0.41206107993992236,0.007076282918669277,10
97,column,xgb,Meta_PSO,50.0,50.0,4.0,0.2855766602987681,0.0,4.067741340452188,0.0,0.40870450423131155,3.204937810639273e-17,10
98,column,xgb,Meta_WOA,20.0,30.0,4.0,0.23531906198474778,0.02117515732463967,3.601403688240972,0.26248685803082766,0.4386724444880608,0.020941104478848175,10
99,column,xgb,Meta_WOA,20.0,50.0,4.0,0.2552662039966562,0.025941810267978635,3.6020640047433106,0.33992182765829704,0.4418992374097196,0.025472645035173797,10
100,column,xgb,Meta_WOA,50.0,30.0,4.0,0.2608905357600705,0.03186964974025939,3.916555192751926,0.19518047740679004,0.4154176556485332,0.008666641213156091,10
101,column,xgb,Meta_WOA,50.0,50.0,4.0,0.26257104434302225,0.027918836089894036,3.856764341231512,0.27117092443576796,0.4242226646171484,0.020239686747933586,10
102,diabetes,rf,AffinityPropagation,,,9.0,0.12712785493899958,0.0,8.512324486442981,1.4503892858778862e-15,1.1952527370713821,0.0,10
