dataset,classifier,method,seed,num_clusters,silhouette
mammographic-mass,xgb,AffinityPropagation_Gower,777,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,1000,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,2024,11,0.3177507817745209
contraceptive-method-choice,rf,AffinityPropagation_Gower,0,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,7,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,42,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,99,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,123,17,0.24059945344924927
contraceptive-method-choice,rf,AffinityPropagation_Gower,256,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,512,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,777,17,0.2410285919904709
contraceptive-method-choice,rf,AffinityPropagation_Gower,1000,17,0.24413864314556122
contraceptive-method-choice,rf,AffinityPropagation_Gower,2024,17,0.24413864314556122
contraceptive-method-choice,svm,AffinityPropagation_Gower,0,17,0.25471439957618713
contraceptive-method-choice,svm,AffinityPropagation_Gower,7,17,0.2522687315940857
contraceptive-method-choice,svm,AffinityPropagation_Gower,42,17,0.2522687315940857
contraceptive-method-choice,svm,AffinityPropagation_Gower,99,17,0.25471439957618713
contraceptive-method-choice,svm,AffinityPropagation_Gower,123,17,0.25471439957618713
contraceptive-method-choice,svm,AffinityPropagation_Gower,256,17,0.2522687315940857
contraceptive-method-choice,svm,AffinityPropagation_Gower,512,17,0.2533318102359772
contraceptive-method-choice,svm,AffinityPropagation_Gower,777,17,0.2522687315940857
contraceptive-method-choice,svm,AffinityPropagation_Gower,1000,17,0.2534370720386505
contraceptive-method-choice,svm,AffinityPropagation_Gower,2024,17,0.2533318102359772
contraceptive-method-choice,xgb,AffinityPropagation_Gower,0,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,7,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,42,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,99,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,123,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,256,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,512,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,777,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,1000,17,0.22901500761508942
contraceptive-method-choice,xgb,AffinityPropagation_Gower,2024,17,0.22901500761508942
german-credit,rf,AffinityPropagation_Gower,0,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,7,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,42,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,99,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,123,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,256,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,512,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,777,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,1000,8,0.07573971897363663
german-credit,rf,AffinityPropagation_Gower,2024,8,0.07573971897363663
german-credit,svm,AffinityPropagation_Gower,0,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,7,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,42,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,99,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,123,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,256,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,512,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,777,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,1000,10,0.0852503553032875
german-credit,svm,AffinityPropagation_Gower,2024,10,0.0852503553032875
german-credit,xgb,AffinityPropagation_Gower,0,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,7,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,42,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,99,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,123,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,256,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,512,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,777,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,1000,11,0.0988256186246872
german-credit,xgb,AffinityPropagation_Gower,2024,11,0.0988256186246872
horse-colic,rf,AffinityPropagation_Gower,0,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,7,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,42,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,99,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,123,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,256,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,512,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,777,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,1000,2,0.1349308341741562
horse-colic,rf,AffinityPropagation_Gower,2024,2,0.1349308341741562
horse-colic,svm,AffinityPropagation_Gower,0,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,7,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,42,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,99,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,123,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,256,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,512,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,777,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,1000,4,0.15052299201488495
horse-colic,svm,AffinityPropagation_Gower,2024,4,0.15052299201488495
horse-colic,xgb,AffinityPropagation_Gower,0,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,7,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,42,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,99,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,123,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,256,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,512,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,777,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,1000,3,0.12478955090045929
horse-colic,xgb,AffinityPropagation_Gower,2024,3,0.12478955090045929
congressional-voting,rf,AffinityPropagation_Gower,0,4,0.2190476357936859
congressional-voting,rf,AffinityPropagation_Gower,7,3,0.24047620594501495
congressional-voting,rf,AffinityPropagation_Gower,42,3,0.12106781452894211
congressional-voting,rf,AffinityPropagation_Gower,99,3,0.2590135931968689
congressional-voting,rf,AffinityPropagation_Gower,123,3,0.2810245454311371
congressional-voting,rf,AffinityPropagation_Gower,256,2,0.31061697006225586
congressional-voting,rf,AffinityPropagation_Gower,512,4,0.2190476357936859
congressional-voting,rf,AffinityPropagation_Gower,777,4,0.2190476357936859
congressional-voting,rf,AffinityPropagation_Gower,1000,4,0.18571428954601288
congressional-voting,rf,AffinityPropagation_Gower,2024,4,0.18571428954601288
congressional-voting,svm,AffinityPropagation_Gower,0,4,0.3047619163990021
congressional-voting,svm,AffinityPropagation_Gower,7,2,0.22777779400348663
congressional-voting,svm,AffinityPropagation_Gower,42,3,0.28030699491500854
congressional-voting,svm,AffinityPropagation_Gower,99,2,0.22777779400348663
congressional-voting,svm,AffinityPropagation_Gower,123,2,0.22777779400348663
congressional-voting,svm,AffinityPropagation_Gower,256,2,0.22777779400348663
congressional-voting,svm,AffinityPropagation_Gower,512,2,0.22777779400348663
congressional-voting,svm,AffinityPropagation_Gower,777,3,0.28030699491500854
congressional-voting,svm,AffinityPropagation_Gower,1000,4,0.17976190149784088
congressional-voting,svm,AffinityPropagation_Gower,2024,2,0.22777779400348663
congressional-voting,xgb,AffinityPropagation_Gower,0,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,7,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,42,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,99,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,123,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,256,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,512,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,777,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,1000,2,0.3026599884033203
congressional-voting,xgb,AffinityPropagation_Gower,2024,2,0.3026599884033203
cylinder-bands,rf,AffinityPropagation_Gower,0,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,7,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,42,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,99,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,123,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,256,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,512,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,777,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,1000,6,0.15022572875022888
cylinder-bands,rf,AffinityPropagation_Gower,2024,6,0.15022572875022888
cylinder-bands,svm,AffinityPropagation_Gower,0,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,7,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,42,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,99,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,123,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,256,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,512,8,0.11748954653739929
