dataset,classifier,method,trial,algo,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
wdbc,rf,Optuna_Auto,0,PSO,59,21,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,1,GWO,15,87,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,2,GA,34,49,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,3,WOA,64,80,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,4,PSO,76,20,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,5,GWO,96,83,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,6,PSO,13,85,3,0.11048591039706433,2.1907481344138326,0.5754537457094414
wdbc,rf,Optuna_Auto,7,PSO,48,52,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,8,GWO,88,100,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,9,GWO,98,83,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,10,GA,52,16,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,11,WOA,13,40,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,12,GWO,31,62,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,13,PSO,32,31,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,14,GWO,69,65,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,15,PSO,46,33,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,17,WOA,60,67,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,18,PSO,84,93,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,19,GWO,42,73,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,20,GWO,56,52,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,23,GA,20,43,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,24,GA,38,22,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,25,GA,10,58,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,26,PSO,26,74,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,27,WOA,74,25,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,28,GA,18,41,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,rf,Optuna_Auto,29,WOA,29,10,2,0.204910218269028,2.5758482302950974,0.549119322894502
wdbc,xgb,Optuna_Auto,0,GWO,44,65,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,1,WOA,48,32,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,2,GA,44,58,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,3,PSO,47,33,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,4,PSO,60,78,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,5,GWO,99,30,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,6,GWO,94,87,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,8,WOA,75,80,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,9,WOA,80,17,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,10,GWO,10,57,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,11,WOA,35,60,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,12,GWO,59,41,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,13,WOA,30,13,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,14,WOA,57,48,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,15,GWO,34,71,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,16,PSO,47,25,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,17,GA,70,41,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,18,WOA,22,68,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,19,GWO,41,100,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,20,WOA,53,49,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,21,GA,42,61,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,25,GA,40,19,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,26,GWO,64,75,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,27,PSO,52,64,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,28,WOA,83,85,3,0.11277843201585983,2.58323168197903,0.5402715937509598
wdbc,xgb,Optuna_Auto,29,PSO,45,30,3,0.11277843201585983,2.58323168197903,0.5402715937509598
column,rf,Optuna_Auto,0,PSO,45,39,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,1,PSO,42,46,4,0.21243300166069354,2.8714333431336088,0.48576035985256116
column,rf,Optuna_Auto,2,PSO,70,56,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,4,GA,12,71,4,0.21243300166069354,2.8714333431336088,0.48576035985256116
column,rf,Optuna_Auto,5,GWO,64,61,4,0.191336704218885,2.981639873089422,0.4773156131617272
column,rf,Optuna_Auto,6,PSO,64,52,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,7,WOA,47,58,4,0.3165466445345748,5.460899180416886,0.5088684482975778
